"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 13",1,"Alabama",61,"11-0","SEC","1",1525
"Week 13",2,"Ohio State",,"10-1","Big Ten","2",1455
"Week 13",3,"Michigan",,"10-1","Big Ten","4",1370
"Week 13",4,"Clemson",,"10-1","ACC","5",1347
"Week 13",5,"Wisconsin",,"9-2","Big Ten","6",1255
"Week 13",6,"Washington",,"10-1","Pac-12","7",1220
"Week 13",7,"Oklahoma",,"9-2","Big 12","8",1169
"Week 13",8,"Penn State",,"9-2","Big Ten","9",1091
"Week 13",9,"Colorado",,"9-2","Pac-12","12",997
"Week 13",10,"Oklahoma State",,"9-2","Big 12","13",868
"Week 13",11,"Louisville",,"9-2","ACC","3",830
"Week 13",12,"USC",,"8-3","Pac-12","15",811
"Week 13",13,"Florida",,"8-2","SEC","21",703
"Week 13",14,"Western Michigan",,"11-0","Mid-American","14",701
"Week 13",15,"Florida State",,"8-3","ACC","17",661
"Week 13",16,"Auburn",,"8-3","SEC","18",613
"Week 13",17,"Nebraska",,"9-2","Big Ten","19",593
"Week 13",18,"Houston",,"9-2","The American","-",490
"Week 13",19,"West Virginia",,"8-2","Big 12","10",448
"Week 13",20,"Boise State",,"10-1","Mountain West","22",389
"Week 13",21,"Utah",,"8-3","Pac-12","11",280
"Week 13",22,"Texas A&M",,"8-3","SEC","23",253
"Week 13",23,"Washington State",,"8-3","Pac-12","20",186
"Week 13",24,"Tennessee",,"8-3","SEC","-",133
"Week 13",25,"LSU",,"6-4","SEC","16",84
