"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","13-0",1525,"Week 15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ohio State","11-1",1444,"Week 15",2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,3,2,2,2,3,2,5,2,3,2,4,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2
"Clemson","12-1",1396,"Week 15",3,4,3,7,2,3,2,3,4,3,3,3,3,3,3,2,5,3,3,2,3,4,3,2,3,2,3,3,3,3,4,3,3,5,3,4,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,5,2,3,4,3,3,3
"Washington","12-1",1329,"Week 15",4,3,4,4,5,4,3,4,3,4,4,4,4,6,6,4,4,4,7,4,5,3,6,6,4,3,6,4,4,4,3,4,4,4,4,5,4,4,4,4,4,5,4,4,4,6,4,2,3,4,4,4,4,6,4,3,4,7,3,4,4,4
"Penn State","11-2",1252,"Week 15",5,6,6,5,3,6,6,6,6,6,6,6,5,5,4,5,6,5,6,7,4,2,4,8,6,5,4,6,5,6,5,5,6,2,6,2,7,5,6,6,6,6,5,6,6,5,7,6,7,5,5,5,5,4,7,7,6,6,6,6,7,6
"Michigan","10-2",1249,"Week 15",6,5,5,6,6,5,5,5,5,5,7,5,7,4,5,7,3,6,5,5,6,6,5,4,5,6,5,5,7,5,6,6,5,9,5,8,5,6,5,5,5,4,6,5,5,4,6,5,5,7,6,6,7,7,5,6,7,4,7,5,5,5
"Oklahoma","10-2",1173,"Week 15",7,7,7,3,8,7,7,7,7,7,5,7,6,7,7,6,9,7,8,6,7,7,7,7,7,7,7,7,6,7,7,7,8,8,7,6,6,7,7,7,7,7,8,7,7,8,5,7,6,9,7,7,6,5,6,8,5,5,5,7,6,8
"Wisconsin","10-3",1054,"Week 15",8,10,9,8,7,10,11,9,8,8,9,8,9,9,8,9,8,9,10,11,8,9,8,9,8,8,10,9,8,8,8,11,7,7,9,9,10,10,10,8,8,9,7,8,9,7,8,9,9,8,10,8,10,10,9,9,10,9,8,8,8,7
"USC","9-3",1040,"Week 15",9,9,8,13,9,9,8,8,9,12,8,9,8,8,11,8,7,8,4,12,9,8,9,5,9,9,8,8,9,10,9,8,9,6,10,7,9,8,9,13,13,8,10,12,8,9,9,8,8,6,9,9,8,8,11,4,8,12,14,14,9,9
"Florida State","9-3",889,"Week 15",10,13,11,11,13,11,14,10,13,10,12,10,13,12,15,10,11,10,11,9,11,12,10,11,10,11,9,10,10,9,11,13,11,11,13,12,15,11,13,10,12,10,13,11,13,15,10,13,12,11,11,11,9,13,10,10,14,10,13,13,11,10
"Colorado","10-3",886,"Week 15",11,8,10,12,10,14,13,14,10,9,13,12,11,11,12,11,10,13,15,13,14,10,12,10,16,13,14,11,11,13,10,14,10,10,11,10,11,12,12,12,9,11,11,9,10,10,14,10,10,10,12,10,15,11,8,11,12,14,11,11,13,11
"Western Michigan","13-0",871,"Week 15",12,12,14,9,14,8,9,11,12,11,10,13,10,10,9,20,12,11,9,8,10,11,11,12,15,14,13,18,12,12,12,10,15,19,8,11,12,9,8,11,14,13,9,13,14,11,13,15,13,12,8,17,11,9,12,14,9,8,10,9,14,12
"Oklahoma State","9-3",800,"Week 15",13,11,12,10,12,13,12,12,11,13,14,11,12,14,13,12,16,15,14,17,15,15,14,14,12,12,15,15,15,14,14,15,12,14,14,13,13,15,11,9,10,12,12,10,11,12,11,14,15,13,13,12,14,15,15,12,11,11,12,12,10,14
"West Virginia","10-2",788,"Week 15",14,14,13,17,15,12,10,13,14,14,11,14,14,15,10,14,17,12,12,10,12,13,15,13,14,10,11,13,13,11,15,9,22,12,15,15,8,13,14,14,11,14,14,14,12,16,12,11,17,15,14,13,12,12,13,15,13,13,9,10,12,13
"Louisville","9-3",542,"Week 15",15,23,15,20,11,19,17,17,17,15,15,15,15,24,14,18,14,16,18,18,13,14,17,24,11,15,12,19,23,17,13,12,13,,12,18,19,18,19,22,16,21,17,18,20,13,15,21,11,18,19,14,13,19,22,21,21,18,16,19,18,16
"Stanford","9-3",508,"Week 15",16,19,,18,17,20,22,15,16,16,16,16,16,17,17,23,13,14,16,,,21,19,21,13,21,16,16,18,20,20,16,19,13,17,19,16,16,17,15,15,19,23,19,15,20,18,12,14,17,17,22,16,14,14,13,16,21,15,22,19,15
"Auburn","8-4",493,"Week 15",17,15,16,16,19,24,19,16,15,17,20,17,17,16,16,17,20,17,13,16,21,17,16,15,17,19,17,17,21,16,16,17,14,17,21,25,18,20,20,,18,15,15,20,23,14,16,,19,16,18,,17,16,16,18,18,15,19,20,15,17
"Virginia Tech","9-4",372,"Week 15",18,20,24,21,21,,20,25,18,,17,19,18,21,20,,18,23,25,14,16,18,25,22,23,17,23,14,19,22,18,21,24,,16,17,14,14,15,16,17,18,18,25,16,21,19,16,18,19,21,15,23,23,20,22,17,17,20,23,,18
"LSU","7-4",351,"Week 15",19,25,18,14,,25,21,23,21,20,19,18,22,19,,13,19,19,17,19,20,,13,19,18,20,20,12,22,23,22,18,18,20,22,,24,19,24,18,25,17,20,21,22,25,17,23,25,20,15,18,18,,18,20,15,22,21,21,17,21
"Florida","8-4",331,"Week 15",20,18,17,15,,,18,22,19,18,18,21,19,18,,15,,18,19,,,25,18,16,19,18,18,24,25,15,21,,16,18,19,24,22,21,22,17,24,16,19,16,21,22,25,22,16,,,16,,25,25,,20,16,23,15,16,19
"Iowa","8-4",272,"Week 15",21,21,20,19,18,,25,24,22,19,23,23,,20,23,22,23,20,20,23,19,,21,17,,23,19,22,14,,17,24,20,15,20,16,,17,16,20,19,23,22,,,,23,24,24,22,23,20,19,17,21,19,,,17,,22,22
"Pittsburgh","8-4",237,"Week 15",22,22,25,22,16,,24,18,24,,21,,21,13,,21,15,22,22,22,17,20,20,,24,,22,20,24,,19,22,25,,18,14,21,23,23,,22,22,,,25,,,,23,14,16,25,24,,19,16,22,24,18,25,24,20
"Temple","10-3",229,"Week 15",23,17,21,,22,17,15,19,25,21,22,,24,22,18,25,25,24,,15,18,,23,25,25,16,25,23,16,25,23,20,,21,23,21,17,22,18,25,23,25,24,24,17,23,20,25,,21,25,23,22,21,,25,23,19,24,24,25,24
"Nebraska","9-3",196,"Week 15",24,,,25,,15,23,21,,24,,20,23,,22,16,,21,21,,,,24,,,24,21,,,21,,25,21,23,,,,24,,24,20,24,16,17,,17,24,18,,,24,19,20,18,17,23,19,20,22,16,23,23
"South Florida","10-2",173,"Week 15",25,16,22,23,25,16,16,20,20,25,24,24,20,25,19,24,22,,23,24,22,19,22,,,22,,25,20,,25,,,,24,22,23,25,,23,,,25,22,18,,21,17,22,23,22,21,21,,23,,,,25,,,25
"Houston","9-3",101,"Week 15",,,19,,24,18,,,23,22,,,,23,21,,24,,,,25,23,,,22,,,,17,,,,17,,,,25,,25,21,,20,,,19,,,20,20,,,,25,20,24,,,,,,,
"Utah","8-4",99,"Week 15",,24,,,23,,,,,23,,22,,,,,21,,,,,16,,18,21,,,21,,18,24,23,,22,,,20,,,,21,,,,,24,,,,24,,,,,,17,,,,18,21,
"Boise State","10-2",95,"Week 15",,,,,,21,,,,,25,,25,,24,,,,,20,24,22,,23,,,,,,,,19,,,,23,,,21,,,,21,15,24,19,22,19,,,20,,,24,,,24,25,,17,,
"Washington State","8-4",31,"Week 15",,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,19,,,,16,,,,,,,,,,23,,,,,21,,,,,,,,,,,,,
"Texas A&M","8-4",26,"Week 15",,,,24,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,18,,,,,,,,,,,,,,,20,
"Air Force","9-3",20,"Week 15",,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,24,,,,24,,20,,,,19,,,,,,,,,,,,,,,,,,,,,,
"Navy","9-3",15,"Week 15",,,23,,,,,,,,,25,,,25,,,,,25,,24,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,24,,22,,,,,,,,
"Tennessee","8-4",12,"Week 15",,,,,20,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego State","10-3",8,"Week 15",,,,,,22,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,
"Western Kentucky","10-3",7,"Week 15",,,,,,23,,,,,,,,,,,,25,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
"Miami","8-4",6,"Week 15",,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia Tech","8-4",3,"Week 15",,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
"Kansas State","8-4",2,"Week 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
